item,total_amount,cumulative_percent,ABC_group
sku26161,5373638,0.8548467542526611,A
sku18199,3951361,1.4834354544461892,A
sku21947,3918570,2.106807710971815,A
sku28128,3027786,2.588472652799241,A
sku8342,2113158,2.924637139041717,A
sku29626,1973964,3.2386584256284947,A
sku9018,1706341,3.5101058259740783,A
sku9471,1675843,3.7767015566851985,A
sku25074,1668585,4.042142673382058,A
sku27791,1645042,4.303838532743873,A
sku15054,1591924,4.557084297422645,A
sku18190,1557306,4.804822976410363,A
sku5485,1499300,5.043333970014884,A
sku30530,1493825,5.280973992039345,A
sku15843,1415406,5.506138996650698,A
sku19100,1414070,5.73109146828836,A
sku5963,1375655,5.9499328215245555,A
sku28360,1371182,6.168062602910959,A
sku15562,1311580,6.3767108047330225,A
sku28905,1270494,6.578822981287804,A
sku5289,1267627,6.78047907098961,A
sku1895,1253524,6.979891633350121,A
sku28010,1225330,7.174819050006846,A
sku27161,1203700,7.3663055323664555,A
sku24968,1166841,7.551928427243062,A
sku29549,1163532,7.737024921214018,A
sku3068,1157176,7.921110292744269,A
sku17231,1156162,8.105034355565447,A
sku22208,1145568,8.287273108264404,A
sku16538,1139118,8.468485784855343,A
sku5324,1118865,8.64647658246711,A
sku6012,1102378,8.821844602281534,A
sku8146,1085027,8.99445239782461,A
sku17558,1082582,9.166671238936042,A
sku23142,1074761,9.337645903110916,A
sku8159,1063079,9.506762176418528,A
sku10097,1062126,9.67572684499266,A
sku22173,1061466,9.844586519732482,A
sku767,1058864,10.013032264234623,A
sku25704,1037998,10.178158612756938,A
sku20519,1025805,10.341345279731183,A
sku1277,1015439,10.502882907180513,A
sku29856,1009583,10.663488952972706,A
sku9057,1004104,10.823223390858569,A
sku24042,964096,10.976593293406523,A
sku25418,956193,11.128705974329412,A
sku19934,948353,11.279571455765968,A
sku26841,935601,11.428408329058428,A
sku4786,904017,11.572220770134516,A
sku4416,885553,11.713095929155035,A
sku6830,859985,11.849903690667063,A
sku13806,834808,11.98270625556335,A
sku3243,833530,12.11530551421684,A
sku28432,827074,12.246877742272911,A
sku6420,821201,12.3775156842852,A
sku30008,807909,12.506039114107143,A
sku3397,807664,12.634523568945133,A
sku29932,759243,12.755305135220915,A
sku5408,758285,12.875934301355379,A
sku24343,754350,12.995937481523173,A
sku23117,747271,13.114814523277222,A
sku8354,734848,13.23171529472276,A
sku18140,721336,13.34646655603318,A
sku18212,696897,13.457330022924403,A
sku16079,696317,13.568101222506687,A
sku23213,695255,13.678703477464675,A
sku9689,680724,13.786994118170634,A
sku23883,679820,13.895140949139902,A
sku13085,676690,14.002789854804043,A
sku1955,626416,14.102441093762069,A
sku4187,622028,14.201394282803511,A
sku16314,616866,14.299526292795406,A
sku5403,615140,14.397383728002424,A
sku6834,611419,14.494649220698138,A
sku18850,610400,14.591752609276941,A
sku16598,609191,14.68866366824108,A
sku23319,608847,14.785520003146125,A
sku30513,605917,14.881910229059464,A
sku28013,596168,14.97674956877481,A
sku11004,593756,15.071205203750232,A
sku9685,587151,15.164610104974729,A
sku15942,586960,15.257984621619903,A
sku5374,574719,15.349411820801787,A
sku885,573463,15.440639213535349,A
sku27209,562182,15.530072007110068,A
sku6950,560263,15.619199523157457,A
sku906,558030,15.707971810065436,A
sku9832,557022,15.796583742753741,A
sku19372,555951,15.885025299083647,A
sku2473,551470,15.972754010911222,A
sku12097,550862,16.060386001145982,A
sku29329,550127,16.147901066428897,A
sku4798,548389,16.23513964794813,A
sku18964,545968,16.32199309299334,A
sku16425,545966,16.408846219875407,A
sku5440,541879,16.495049180392595,A
sku28287,532913,16.57982581557886,A
sku1585,526980,16.663658619827316,A
sku19366,522516,16.746781283960086,A
sku7573,521916,16.829808499152573,A
sku9958,520487,16.912608386785628,A
sku30017,516978,16.994850057199606,A
sku18571,516030,17.076940918287942,A
sku8579,507115,17.157613567205274,A
sku19199,504221,17.237825834067323,A
sku8166,500751,17.317486087891414,A
sku6416,494358,17.39612933325681,A
sku18300,491126,17.47425842699723,A
