item,ABC_group,XYZ_group
sku26161,A,Z
sku18199,A,Z
sku21947,A,Z
sku28128,A,Z
sku8342,A,Z
sku29626,A,Z
sku9018,A,Z
sku9471,A,Z
sku25074,A,Z
sku27791,A,Z
sku15054,A,Z
sku18190,A,Z
sku5485,A,Z
sku30530,A,Z
sku15843,A,Z
sku19100,A,Z
sku5963,A,Z
sku28360,A,Z
sku15562,A,Z
sku28905,A,Z
sku5289,A,Z
sku1895,A,Y
sku28010,A,Z
sku27161,A,X
sku24968,A,X
sku29549,A,Z
sku3068,A,Z
sku17231,A,X
sku22208,A,Z
sku16538,A,Z
sku5324,A,Y
sku6012,A,Z
sku8146,A,X
sku17558,A,Z
sku23142,A,Z
sku8159,A,Z
sku10097,A,Z
sku22173,A,X
sku767,A,X
sku25704,A,Z
sku20519,A,Z
sku1277,A,Z
sku29856,A,Y
sku9057,A,Z
sku24042,A,Z
sku25418,A,Z
sku19934,A,Z
sku26841,A,Z
sku4786,A,X
sku4416,A,Z
sku6830,A,Z
sku13806,A,X
sku3243,A,Z
sku28432,A,Z
sku6420,A,Z
sku30008,A,Z
sku3397,A,Z
sku29932,A,X
sku5408,A,Z
sku24343,A,Z
sku23117,A,Z
sku8354,A,Z
sku18140,A,Z
sku18212,A,Z
sku16079,A,Z
sku23213,A,X
sku9689,A,Z
sku23883,A,X
sku13085,A,Z
sku1955,A,X
sku4187,A,X
sku16314,A,X
sku5403,A,Z
sku6834,A,X
sku18850,A,X
sku16598,A,X
sku23319,A,X
sku30513,A,Z
sku28013,A,Z
sku11004,A,Z
sku9685,A,Z
sku15942,A,Z
sku5374,A,X
sku885,A,Z
sku27209,A,Z
sku6950,A,Z
sku906,A,X
sku9832,A,Z
sku19372,A,Z
sku2473,A,Z
sku12097,A,Z
sku29329,A,Z
sku4798,A,Y
sku18964,A,X
sku16425,A,Z
sku5440,A,Z
sku28287,A,X
sku1585,A,Z
sku19366,A,Y
sku7573,A,Z
sku9958,A,Z
sku30017,A,Z
sku18571,A,X
sku8579,A,X
sku19199,A,X
sku8166,A,X
sku6416,A,X
sku18300,A,Z
sku7488,A,Z
sku14640,A,Z
sku3211,A,X
sku6770,A,Z
sku8578,A,Y
sku30532,A,Z
sku7333,A,Z
sku18084,A,X
sku14695,A,Z
sku24179,A,Z
sku25537,A,Z
sku29094,A,Z
sku26028,A,Z
sku550,A,Z
sku17562,A,Y
sku13016,A,Z
sku14837,A,Y
sku21426,A,Z
sku24700,A,Z
sku29962,A,Z
sku24385,A,X
sku25146,A,X
sku17583,A,X
sku28814,A,Z
sku8752,A,Z
sku1265,A,X
sku21507,A,Z
sku7321,A,Z
sku478,A,Z
sku28944,A,X
sku25349,A,Z
sku5918,A,X
sku21422,A,Z
sku1634,A,Z
sku14617,A,Z
sku27371,A,X
sku24584,A,Z
sku22828,A,X
sku14107,A,Z
sku9787,A,Z
sku10683,A,Y
sku7874,A,Z
sku5462,A,Z
sku30378,A,Z
sku859,A,Z
sku1351,A,Z
sku6051,A,X
sku24855,A,Z
sku3771,A,Z
sku9465,A,Z
sku7884,A,X
sku13383,A,Z
sku15188,A,X
sku22279,A,Z
sku7315,A,Z
sku27930,A,Z
sku6316,A,X
sku21414,A,Y
sku17674,A,Z
sku11277,A,Z
sku2339,A,Z
sku23200,A,Z
sku25361,A,X
sku22829,A,Y
sku17233,A,Z
sku21216,A,Z
sku3569,A,Z
sku14706,A,Z
sku14115,A,Z
sku8963,A,X
sku19447,A,X
sku697,A,Z
sku5903,A,Z
sku13941,A,Z
sku28734,A,X
sku1799,A,Z
sku10573,A,X
sku8816,A,Y
sku17782,A,X
sku14878,A,Z
sku3459,A,X
sku12570,A,Z
sku7572,A,Z
sku29620,A,X
sku26806,A,X
sku15904,A,X
sku22214,A,X
sku13695,A,Z
sku1947,A,Z
sku17654,A,Z
sku1209,A,Z
sku22411,A,Z
sku13851,A,Z
sku20316,A,Z
sku21237,A,Z
sku3395,A,X
sku5009,A,Z
sku25902,A,X
sku14274,A,X
sku23893,A,Z
sku13557,A,Z
sku13211,A,Z
sku21098,A,Z
sku21288,A,Z
sku23717,A,Z
sku18023,A,Z
sku20430,A,Z
sku22394,A,Y
sku27774,A,Z
sku21164,A,X
sku4947,A,Z
sku6093,A,X
sku799,A,X
sku14206,A,Z
sku4633,A,Z
sku6732,A,Z
sku7322,A,Z
sku29117,A,X
sku10536,A,Z
sku27907,A,X
sku12414,A,X
sku13431,A,X
sku13840,A,X
sku878,A,Z
sku25726,A,Z
sku19926,A,X
sku1628,A,Z
sku13899,A,X
sku1010,A,Z
sku1906,A,Z
sku13119,A,X
sku11109,A,Z
sku12939,A,Z
sku24823,A,Z
sku19611,A,Z
sku16859,A,Z
sku29738,A,X
sku9350,A,Z
sku13879,A,X
sku28584,A,X
sku5452,A,X
sku30317,A,Z
sku21790,A,X
sku20495,A,X
sku20928,A,Z
sku30565,A,X
sku23892,A,Y
sku6849,A,Z
sku763,A,Z
sku22761,A,Z
sku15801,A,Z
sku15114,A,X
sku27764,A,Z
sku15935,A,Z
sku4020,A,X
sku4976,A,Z
sku24830,A,X
sku2237,A,X
sku23961,A,Z
sku4894,A,Z
sku27019,A,Z
sku20120,A,Z
sku14960,A,Y
sku21250,A,X
sku22802,A,X
sku18786,A,X
sku27434,A,Z
sku6050,A,X
sku8726,A,Z
sku22857,A,Z
sku1288,A,Z
sku9262,A,Z
sku24820,A,Z
sku15373,A,X
sku21388,A,X
sku11508,A,Z
sku29516,A,Z
sku16000,A,X
sku11628,A,Y
sku2598,A,Z
sku24341,A,Y
sku6216,A,Z
sku21570,A,Z
sku24580,A,Z
sku16010,A,X
sku22402,A,Z
sku24746,A,Z
sku14436,A,Z
sku12192,A,X
sku1570,A,Z
sku11386,A,X
sku15275,A,X
sku24838,A,Y
sku10415,A,Z
sku17521,A,X
sku21395,A,Z
sku3022,A,Z
sku8313,A,Z
sku15396,A,Z
sku22998,A,Z
sku26414,A,Z
sku18638,A,Y
sku5757,A,Z
sku3831,A,X
sku29872,A,X
sku26259,A,Z
sku14312,A,Z
sku11086,A,Z
sku15071,A,Z
sku14847,A,Y
sku24678,A,Z
sku16714,A,X
sku25225,A,X
sku2398,A,Z
sku25873,A,X
sku9368,A,X
sku17950,A,X
sku4162,A,Z
sku3595,A,Z
sku22373,A,X
sku21415,A,Z
sku28410,A,Y
sku22187,A,Z
sku16656,A,Z
sku10863,A,X
sku9355,A,X
sku4986,A,Z
sku960,A,Y
sku4523,A,Z
sku9814,A,X
sku6127,A,Z
sku22256,A,Z
sku9272,A,X
sku9340,A,X
sku21456,A,X
sku10219,A,X
sku1772,A,X
sku9010,A,Z
sku25973,A,Z
sku27292,A,Z
sku1219,A,Z
sku9542,A,Z
sku2707,A,Z
sku21083,A,Z
sku13266,A,Z
sku18943,A,Z
sku20237,A,Z
sku8520,A,Z
sku26880,A,X
sku21581,A,Z
sku26736,A,X
sku18167,A,Z
sku18447,A,Z
sku29812,A,Z
sku12413,A,Z
sku14374,A,X
sku7427,A,Y
sku8254,A,Z
sku6611,A,Z
sku6709,A,Z
sku9275,A,Z
sku6145,A,Z
sku18063,A,Z
sku15731,A,Z
sku18517,A,Z
sku28368,A,Z
sku18772,A,Z
sku30132,A,X
sku21836,A,Z
sku2088,A,X
sku10373,A,Z
sku20737,A,Z
sku29628,A,Z
sku24005,A,Z
sku29172,A,Z
sku23490,A,X
sku5210,A,X
sku27463,A,Z
sku13876,A,Z
sku28753,A,Z
sku12674,A,X
sku11563,A,Z
sku26717,A,X
sku2531,A,Z
sku17264,A,X
sku11703,A,Z
sku807,A,X
sku27650,A,X
sku1984,A,Z
sku18938,A,X
sku20067,A,Z
sku4735,A,Z
sku26682,A,Z
sku7027,A,X
sku5763,A,Z
sku12045,A,X
sku13696,A,X
sku28080,A,Z
sku22485,A,X
sku17189,A,Z
sku19559,A,Z
sku1620,A,Z
sku13676,A,X
sku2492,A,X
sku3997,A,Z
sku7502,A,Z
sku21057,A,Y
sku11047,A,Z
sku7223,A,Z
sku9540,A,X
sku4838,A,Z
sku17069,A,X
sku28627,A,Z
sku17056,A,Z
sku26354,A,X
sku19256,A,X
sku7219,A,Z
sku11751,A,Z
sku12442,A,X
sku17418,A,X
sku6143,A,Z
sku3484,A,Z
sku387,A,Z
sku10825,A,Z
sku8836,A,X
sku24803,A,Z
sku3471,A,Z
sku26417,A,Z
sku21377,A,X
sku8568,A,X
sku4180,A,X
sku14032,A,Z
sku15166,A,Z
sku12364,A,X
sku5670,A,X
sku4872,A,Y
sku26721,A,X
sku838,A,Z
sku20014,A,Z
sku4858,A,Z
sku17696,A,Z
sku23810,A,Z
sku25198,A,Y
sku12776,A,Z
sku4150,A,Z
sku15780,A,Z
sku12636,A,X
sku2443,A,X
sku4642,A,X
sku22684,A,Z
sku20655,A,X
sku1179,A,Z
sku16065,A,Z
sku11206,A,Z
sku2471,A,Z
sku24899,A,Z
sku29976,A,Y
sku17354,A,X
sku17738,A,Z
sku18598,A,X
sku15135,A,Z
sku15721,A,X
sku18079,A,Z
sku6989,A,Z
sku6804,A,Z
sku2955,A,Z
sku18641,A,Z
sku21359,A,Z
sku26932,A,X
sku18444,A,Z
sku7974,A,Z
sku16242,A,Z
sku19985,A,Z
sku16133,A,X
sku26032,A,Z
sku14061,A,Z
sku29862,A,X
sku29234,A,Y
sku7351,A,Z
sku15020,A,Z
sku12339,A,X
sku12050,A,Z
sku9233,A,X
sku3468,A,Z
sku20573,A,Z
sku23466,A,Y
sku1472,A,X
sku8962,A,Z
sku15164,A,X
sku22092,A,Z
sku9390,A,X
sku14652,A,Z
sku25573,A,Z
sku2729,A,Z
sku25130,A,Z
sku25150,A,Z
sku17031,A,Z
sku25356,A,X
sku3455,A,Z
sku22260,A,Y
sku2310,A,X
sku26585,A,X
sku25371,A,X
sku26165,A,Z
sku29980,A,Z
sku6509,A,Z
sku14129,A,Z
sku28639,A,Z
sku20859,A,Z
sku5475,A,Z
sku3291,A,Z
sku5496,A,Z
sku14379,A,X
sku13320,A,X
sku2291,A,X
sku28479,A,Z
sku2322,A,Z
sku2900,A,Z
sku5631,A,Z
sku6659,A,Z
sku25623,A,X
sku30149,A,Y
sku4669,A,X
sku25811,A,Z
sku3697,A,Z
sku15224,A,X
sku27183,A,Z
sku28736,A,X
sku19679,A,X
sku22363,A,Z
sku16015,A,Y
sku10504,A,Z
sku5361,A,Z
sku10519,A,X
sku19917,A,Z
sku16956,A,Z
sku28018,A,Z
sku28685,A,X
sku3847,A,X
sku4335,A,Z
sku17901,A,Z
sku14405,A,X
sku1023,A,Z
sku19443,A,X
sku29689,A,X
sku17720,A,Z
sku18245,A,Z
sku23048,A,Z
sku17983,A,X
sku13210,A,Z
sku18099,A,Z
sku25603,A,Z
sku15932,A,X
sku28427,A,Z
sku3611,A,Y
sku17140,A,Z
sku20793,A,X
sku20413,A,Z
sku12622,A,Z
sku16034,A,Z
sku3335,A,Z
sku5105,A,X
sku21653,A,Z
sku12215,A,X
sku18721,A,X
sku26946,A,Z
sku13552,A,Z
sku25276,A,Y
sku112,A,Y
sku17811,A,Z
sku17014,A,Z
sku628,A,X
sku1797,A,Z
sku4809,A,Z
sku17711,A,Z
sku16414,A,X
sku15053,A,Z
sku16150,A,Z
sku25490,A,Z
sku23235,A,Y
sku5648,A,Z
sku11382,A,Z
sku16248,A,X
sku1489,A,X
sku14726,A,Z
sku26646,A,Z
sku28465,A,Z
sku12790,A,X
sku30412,A,Z
sku20728,A,Z
sku1653,A,X
sku16602,A,X
sku3706,A,X
sku9358,A,Z
sku26047,A,Z
sku4433,A,Z
sku9108,A,Z
sku12360,A,Z
sku89,A,X
sku14868,A,Z
sku3547,A,Y
sku28378,A,Z
sku2681,A,Z
sku18401,A,Z
sku10442,A,X
sku6512,A,Z
sku29443,A,Z
sku14955,A,Z
sku9841,A,Z
sku16779,A,Z
sku22280,A,Z
sku13992,A,X
sku10789,A,Z
sku12963,A,Z
sku15905,A,Z
sku12116,A,Z
sku10083,A,Z
sku8652,A,Z
sku27173,A,Z
sku9604,A,Z
