total_quantity,total_amount,unique_visits
3434,3887309,107
5457,1443255,174
1617,986618,17
1187,636101,23
1255,537397,74
2526,502515,159
1271,431752,70
1963,431041,87
1079,429072,119
2234,407138,121
947,406573,26
463,405956,33
921,405102,35
373,400591,11
679,399731,64
729,398116,31
56,389027,4
2470,386355,157
966,381391,90
544,380614,33
3265,366035,102
492,364845,46
1455,359973,114
767,359230,17
748,356484,46
806,352487,49
1158,351293,61
830,348586,44
1626,345280,121
840,344727,24
1411,343301,169
686,327883,24
366,327310,15
792,314879,20
1061,309554,59
390,306686,21
1787,303252,44
1409,301478,108
1161,297086,142
1438,296104,81
658,294154,40
1048,293703,10
1362,293181,144
317,293150,7
808,286561,26
775,285687,13
864,283336,42
628,282968,45
844,282202,71
1159,274672,82
788,270000,47
824,269628,91
768,269443,108
896,265197,74
755,263739,61
194,260236,10
567,260069,100
785,256804,57
186,256620,13
515,255139,49
879,251361,31
576,249010,53
867,248773,64
817,246784,20
1147,246156,85
498,245742,31
1016,243751,35
1522,241362,50
479,233776,23
995,231617,35
797,227966,71
384,226953,45
547,226556,47
820,225920,18
666,225005,67
1056,223911,41
1056,223053,65
1164,222592,30
246,220441,23
607,220295,38
911,219439,79
909,218064,101
893,217216,89
431,217186,66
781,216416,90
675,215810,21
422,214815,32
365,212366,28
514,212088,21
674,210390,33
203,208646,7
468,208642,11
739,207288,34
369,207187,3
1033,207041,57
724,206908,53
863,206588,100
1116,206048,53
338,205019,19
1083,204684,73
666,204177,47
916,204167,30
735,201198,59
351,201056,49
344,200528,31
549,200335,12
1013,199650,78
955,199573,92
1622,198310,25
541,198094,60
1009,197393,64
596,196764,73
311,196601,53
495,196062,34
198,195639,19
476,192393,36
108,191901,18
473,191404,12
402,190312,84
766,190214,39
1505,189839,85
416,189381,17
625,189016,37
688,187948,72
222,187344,12
760,186772,39
846,186583,111
816,186276,17
443,185723,26
424,185084,33
460,184971,25
978,183575,9
643,182641,36
694,180044,62
1134,179928,100
442,179645,7
345,179014,52
635,179001,65
1034,178136,104
389,178070,28
1792,177774,11
835,177632,43
363,177252,30
368,177049,21
634,176503,46
424,176417,48
706,176046,56
605,175924,42
160,175895,3
761,175528,53
248,175062,4
268,174616,11
633,173606,22
657,173346,66
587,173277,27
863,173095,74
663,172934,39
421,172251,21
341,172157,16
489,172054,30
312,171721,13
618,171678,11
138,170838,29
689,170700,64
430,170296,4
221,169825,18
842,169520,42
373,169492,25
265,169364,15
718,169321,19
415,168885,32
1258,167598,91
1220,167511,20
416,167298,27
808,166950,49
216,166941,17
266,166940,27
339,166585,35
893,166186,92
364,166053,27
607,165984,104
325,165512,34
723,165148,30
715,164677,42
983,164233,30
549,164101,51
769,163882,35
884,163776,78
